,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
4616,Apartamento,0,1350,Vila Madalena,24,1,1,0
4617,Apartamento,536,2800,Brooklin,47,1,1,1
4618,Sala/Conjunto,0,1700,Santana,60,0,1,0
4619,Apartamento,480,1500,Brás,49,2,1,1
4620,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4621,Apartamento,550,2000,Moema,54,1,1,1
4622,Apartamento,410,1800,Vila Mariana,44,1,1,0
4623,Apartamento,506,2100,Barra Funda,60,2,2,1
4624,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4625,Sala/Conjunto,0,600,República,20,0,1,0
4626,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4627,Apartamento,700,2300,Jaguaré,70,3,2,2
4628,Apartamento,724,1800,Vila Paulista,76,3,2,1
4629,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4630,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4631,Apartamento,781,1800,Sumaré,50,1,1,1
4632,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4633,Apartamento,0,2600,Bela Vista,48,1,1,0
4634,Apartamento,0,4500,Perdizes,140,3,3,2
4635,Sala/Conjunto,0,1950,República,65,0,2,0
4636,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4637,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4638,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4639,Apartamento,250,1051,Liberdade,30,1,1,0
4640,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4641,Apartamento,650,1700,Consolação,50,2,1,1
4642,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4643,Casa,2350,950,Jardim Japão,40,1,1,0
4644,Apartamento,590,1100,Vila Andrade,35,1,1,1
4645,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4646,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4647,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4648,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4649,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4650,Apartamento,850,5900,Sumaré,74,2,3,2
4651,Apartamento,450,3200,Indianópolis,36,1,1,0
4652,Apartamento,0,1350,Vila Madalena,24,1,1,0
4653,Apartamento,536,2800,Brooklin,47,1,1,1
4654,Sala/Conjunto,0,1700,Santana,60,0,1,0
4655,Apartamento,480,1500,Brás,49,2,1,1
4656,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4657,Apartamento,550,2000,Moema,54,1,1,1
4658,Apartamento,410,1800,Vila Mariana,44,1,1,0
4659,Apartamento,506,2100,Barra Funda,60,2,2,1
4660,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4661,Sala/Conjunto,0,600,República,20,0,1,0
4662,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4663,Apartamento,700,2300,Jaguaré,70,3,2,2
4664,Apartamento,724,1800,Vila Paulista,76,3,2,1
4665,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4666,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4667,Apartamento,781,1800,Sumaré,50,1,1,1
4668,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4669,Apartamento,0,2600,Bela Vista,48,1,1,0
4670,Apartamento,0,4500,Perdizes,140,3,3,2
4671,Sala/Conjunto,0,1950,República,65,0,2,0
4672,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4673,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4674,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4675,Apartamento,250,1051,Liberdade,30,1,1,0
4676,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4677,Apartamento,650,1700,Consolação,50,2,1,1
4678,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4679,Casa,2350,950,Jardim Japão,40,1,1,0
4680,Apartamento,590,1100,Vila Andrade,35,1,1,1
4681,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4682,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4683,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4684,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4685,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4686,Apartamento,850,5900,Sumaré,74,2,3,2
4687,Apartamento,450,3200,Indianópolis,36,1,1,0
4688,Apartamento,0,1350,Vila Madalena,24,1,1,0
4689,Apartamento,536,2800,Brooklin,47,1,1,1
4690,Sala/Conjunto,0,1700,Santana,60,0,1,0
4691,Apartamento,480,1500,Brás,49,2,1,1
4692,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4693,Apartamento,550,2000,Moema,54,1,1,1
4694,Apartamento,410,1800,Vila Mariana,44,1,1,0
4695,Apartamento,506,2100,Barra Funda,60,2,2,1
4696,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4697,Sala/Conjunto,0,600,República,20,0,1,0
4698,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4699,Apartamento,700,2300,Jaguaré,70,3,2,2
4700,Apartamento,724,1800,Vila Paulista,76,3,2,1
4701,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4702,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4703,Apartamento,781,1800,Sumaré,50,1,1,1
4704,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4705,Apartamento,0,2600,Bela Vista,48,1,1,0
4706,Apartamento,0,4500,Perdizes,140,3,3,2
4707,Sala/Conjunto,0,1950,República,65,0,2,0
4708,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4709,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4710,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4711,Apartamento,250,1051,Liberdade,30,1,1,0
4712,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4713,Apartamento,650,1700,Consolação,50,2,1,1
4714,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4715,Casa,2350,950,Jardim Japão,40,1,1,0
4716,Apartamento,590,1100,Vila Andrade,35,1,1,1
4717,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4718,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4719,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4720,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4721,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4722,Apartamento,850,5900,Sumaré,74,2,3,2
4723,Apartamento,450,3200,Indianópolis,36,1,1,0
4724,Apartamento,0,1350,Vila Madalena,24,1,1,0
4725,Apartamento,536,2800,Brooklin,47,1,1,1
4726,Sala/Conjunto,0,1700,Santana,60,0,1,0
4727,Apartamento,480,1500,Brás,49,2,1,1
4728,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4729,Apartamento,550,2000,Moema,54,1,1,1
4730,Apartamento,410,1800,Vila Mariana,44,1,1,0
4731,Apartamento,506,2100,Barra Funda,60,2,2,1
4732,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4733,Sala/Conjunto,0,600,República,20,0,1,0
4734,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4735,Apartamento,700,2300,Jaguaré,70,3,2,2
4736,Apartamento,724,1800,Vila Paulista,76,3,2,1
4737,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4738,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4739,Apartamento,781,1800,Sumaré,50,1,1,1
4740,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4741,Apartamento,0,2600,Bela Vista,48,1,1,0
4742,Apartamento,0,4500,Perdizes,140,3,3,2
4743,Sala/Conjunto,0,1950,República,65,0,2,0
4744,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4745,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4746,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4747,Apartamento,250,1051,Liberdade,30,1,1,0
4748,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4749,Apartamento,650,1700,Consolação,50,2,1,1
4750,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4751,Casa,2350,950,Jardim Japão,40,1,1,0
4752,Apartamento,590,1100,Vila Andrade,35,1,1,1
4753,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4754,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4755,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4756,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4757,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4758,Apartamento,850,5900,Sumaré,74,2,3,2
4759,Apartamento,450,3200,Indianópolis,36,1,1,0
4760,Apartamento,0,1350,Vila Madalena,24,1,1,0
4761,Apartamento,536,2800,Brooklin,47,1,1,1
4762,Sala/Conjunto,0,1700,Santana,60,0,1,0
4763,Apartamento,480,1500,Brás,49,2,1,1
4764,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4765,Apartamento,550,2000,Moema,54,1,1,1
4766,Apartamento,410,1800,Vila Mariana,44,1,1,0
4767,Apartamento,506,2100,Barra Funda,60,2,2,1
4768,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4769,Sala/Conjunto,0,600,República,20,0,1,0
4770,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4771,Apartamento,700,2300,Jaguaré,70,3,2,2
4772,Apartamento,724,1800,Vila Paulista,76,3,2,1
4773,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4774,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4775,Apartamento,781,1800,Sumaré,50,1,1,1
4776,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4777,Apartamento,0,2600,Bela Vista,48,1,1,0
4778,Apartamento,0,4500,Perdizes,140,3,3,2
4779,Sala/Conjunto,0,1950,República,65,0,2,0
4780,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4781,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4782,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4783,Apartamento,250,1051,Liberdade,30,1,1,0
4784,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4785,Apartamento,650,1700,Consolação,50,2,1,1
4786,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4787,Casa,2350,950,Jardim Japão,40,1,1,0
4788,Apartamento,590,1100,Vila Andrade,35,1,1,1
4789,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4790,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4791,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4792,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4793,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4794,Apartamento,850,5900,Sumaré,74,2,3,2
4795,Apartamento,450,3200,Indianópolis,36,1,1,0
4796,Apartamento,0,1350,Vila Madalena,24,1,1,0
4797,Apartamento,536,2800,Brooklin,47,1,1,1
4798,Sala/Conjunto,0,1700,Santana,60,0,1,0
4799,Apartamento,480,1500,Brás,49,2,1,1
4800,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4801,Apartamento,550,2000,Moema,54,1,1,1
4802,Apartamento,410,1800,Vila Mariana,44,1,1,0
4803,Apartamento,506,2100,Barra Funda,60,2,2,1
4804,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4805,Sala/Conjunto,0,600,República,20,0,1,0
4806,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4807,Apartamento,700,2300,Jaguaré,70,3,2,2
4808,Apartamento,724,1800,Vila Paulista,76,3,2,1
4809,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4810,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4811,Apartamento,781,1800,Sumaré,50,1,1,1
4812,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4813,Apartamento,0,2600,Bela Vista,48,1,1,0
4814,Apartamento,0,4500,Perdizes,140,3,3,2
4815,Sala/Conjunto,0,1950,República,65,0,2,0
4816,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4817,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4818,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4819,Apartamento,250,1051,Liberdade,30,1,1,0
4820,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4821,Apartamento,650,1700,Consolação,50,2,1,1
4822,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4823,Casa,2350,950,Jardim Japão,40,1,1,0
4824,Apartamento,590,1100,Vila Andrade,35,1,1,1
4825,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4826,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4827,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4828,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4829,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4830,Apartamento,850,5900,Sumaré,74,2,3,2
4831,Apartamento,450,3200,Indianópolis,36,1,1,0
4832,Apartamento,0,1350,Vila Madalena,24,1,1,0
4833,Apartamento,536,2800,Brooklin,47,1,1,1
4834,Sala/Conjunto,0,1700,Santana,60,0,1,0
4835,Apartamento,480,1500,Brás,49,2,1,1
4836,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4837,Apartamento,550,2000,Moema,54,1,1,1
4838,Apartamento,410,1800,Vila Mariana,44,1,1,0
4839,Apartamento,506,2100,Barra Funda,60,2,2,1
4840,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4841,Sala/Conjunto,0,600,República,20,0,1,0
4842,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4843,Apartamento,700,2300,Jaguaré,70,3,2,2
4844,Apartamento,724,1800,Vila Paulista,76,3,2,1
4845,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4846,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4847,Apartamento,781,1800,Sumaré,50,1,1,1
4848,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4849,Apartamento,0,2600,Bela Vista,48,1,1,0
4850,Apartamento,0,4500,Perdizes,140,3,3,2
4851,Sala/Conjunto,0,1950,República,65,0,2,0
4852,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4853,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4854,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4855,Apartamento,250,1051,Liberdade,30,1,1,0
4856,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4857,Apartamento,650,1700,Consolação,50,2,1,1
4858,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4859,Casa,2350,950,Jardim Japão,40,1,1,0
4860,Apartamento,590,1100,Vila Andrade,35,1,1,1
4861,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4862,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4863,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4864,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4865,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4866,Apartamento,850,5900,Sumaré,74,2,3,2
4867,Apartamento,450,3200,Indianópolis,36,1,1,0
4868,Apartamento,0,1350,Vila Madalena,24,1,1,0
4869,Apartamento,536,2800,Brooklin,47,1,1,1
4870,Sala/Conjunto,0,1700,Santana,60,0,1,0
4871,Apartamento,480,1500,Brás,49,2,1,1
4872,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4873,Apartamento,550,2000,Moema,54,1,1,1
4874,Apartamento,410,1800,Vila Mariana,44,1,1,0
4875,Apartamento,506,2100,Barra Funda,60,2,2,1
4876,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4877,Sala/Conjunto,0,600,República,20,0,1,0
4878,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4879,Apartamento,700,2300,Jaguaré,70,3,2,2
4880,Apartamento,724,1800,Vila Paulista,76,3,2,1
4881,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4882,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4883,Apartamento,781,1800,Sumaré,50,1,1,1
4884,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4885,Apartamento,0,2600,Bela Vista,48,1,1,0
4886,Apartamento,0,4500,Perdizes,140,3,3,2
4887,Sala/Conjunto,0,1950,República,65,0,2,0
4888,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4889,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4890,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4891,Apartamento,250,1051,Liberdade,30,1,1,0
4892,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4893,Apartamento,650,1700,Consolação,50,2,1,1
4894,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4895,Casa,2350,950,Jardim Japão,40,1,1,0
4896,Apartamento,590,1100,Vila Andrade,35,1,1,1
4897,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4898,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4899,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4900,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4901,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4902,Apartamento,850,5900,Sumaré,74,2,3,2
4903,Apartamento,450,3200,Indianópolis,36,1,1,0
4904,Apartamento,0,1350,Vila Madalena,24,1,1,0
4905,Apartamento,536,2800,Brooklin,47,1,1,1
4906,Sala/Conjunto,0,1700,Santana,60,0,1,0
4907,Apartamento,480,1500,Brás,49,2,1,1
4908,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4909,Apartamento,550,2000,Moema,54,1,1,1
4910,Apartamento,410,1800,Vila Mariana,44,1,1,0
4911,Apartamento,506,2100,Barra Funda,60,2,2,1
4912,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4913,Sala/Conjunto,0,600,República,20,0,1,0
4914,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4915,Apartamento,700,2300,Jaguaré,70,3,2,2
4916,Apartamento,724,1800,Vila Paulista,76,3,2,1
4917,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4918,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4919,Apartamento,781,1800,Sumaré,50,1,1,1
4920,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4921,Apartamento,0,2600,Bela Vista,48,1,1,0
4922,Apartamento,0,4500,Perdizes,140,3,3,2
4923,Sala/Conjunto,0,1950,República,65,0,2,0
4924,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4925,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4926,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4927,Apartamento,250,1051,Liberdade,30,1,1,0
4928,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4929,Apartamento,650,1700,Consolação,50,2,1,1
4930,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4931,Casa,2350,950,Jardim Japão,40,1,1,0
4932,Apartamento,590,1100,Vila Andrade,35,1,1,1
4933,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4934,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4935,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4936,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4937,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4938,Apartamento,850,5900,Sumaré,74,2,3,2
4939,Apartamento,450,3200,Indianópolis,36,1,1,0
4940,Apartamento,0,1350,Vila Madalena,24,1,1,0
4941,Apartamento,536,2800,Brooklin,47,1,1,1
4942,Sala/Conjunto,0,1700,Santana,60,0,1,0
4943,Apartamento,480,1500,Brás,49,2,1,1
4944,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4945,Apartamento,550,2000,Moema,54,1,1,1
4946,Apartamento,410,1800,Vila Mariana,44,1,1,0
4947,Apartamento,506,2100,Barra Funda,60,2,2,1
4948,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4949,Sala/Conjunto,0,600,República,20,0,1,0
4950,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4951,Apartamento,700,2300,Jaguaré,70,3,2,2
4952,Apartamento,724,1800,Vila Paulista,76,3,2,1
4953,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4954,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4955,Apartamento,781,1800,Sumaré,50,1,1,1
4956,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4957,Apartamento,0,2600,Bela Vista,48,1,1,0
4958,Apartamento,0,4500,Perdizes,140,3,3,2
4959,Sala/Conjunto,0,1950,República,65,0,2,0
4960,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4961,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4962,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4963,Apartamento,250,1051,Liberdade,30,1,1,0
4964,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
4965,Apartamento,650,1700,Consolação,50,2,1,1
4966,Apartamento,925,3999,Itaim Bibi,95,2,1,0
4967,Casa,2350,950,Jardim Japão,40,1,1,0
4968,Apartamento,590,1100,Vila Andrade,35,1,1,1
4969,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
4970,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
4971,Apartamento,651,1500,Vila Água Funda,75,2,2,1
4972,Apartamento,1150,3200,Vila Mariana,110,3,2,1
4973,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
4974,Apartamento,850,5900,Sumaré,74,2,3,2
4975,Apartamento,450,3200,Indianópolis,36,1,1,0
4976,Apartamento,0,1350,Vila Madalena,24,1,1,0
4977,Apartamento,536,2800,Brooklin,47,1,1,1
4978,Sala/Conjunto,0,1700,Santana,60,0,1,0
4979,Apartamento,480,1500,Brás,49,2,1,1
4980,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
4981,Apartamento,550,2000,Moema,54,1,1,1
4982,Apartamento,410,1800,Vila Mariana,44,1,1,0
4983,Apartamento,506,2100,Barra Funda,60,2,2,1
4984,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
4985,Sala/Conjunto,0,600,República,20,0,1,0
4986,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
4987,Apartamento,700,2300,Jaguaré,70,3,2,2
4988,Apartamento,724,1800,Vila Paulista,76,3,2,1
4989,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
4990,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
4991,Apartamento,781,1800,Sumaré,50,1,1,1
4992,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
4993,Apartamento,0,2600,Bela Vista,48,1,1,0
4994,Apartamento,0,4500,Perdizes,140,3,3,2
4995,Sala/Conjunto,0,1950,República,65,0,2,0
4996,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
4997,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
4998,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
4999,Apartamento,250,1051,Liberdade,30,1,1,0
5000,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
5001,Apartamento,650,1700,Consolação,50,2,1,1
5002,Apartamento,925,3999,Itaim Bibi,95,2,1,0
5003,Casa,2350,950,Jardim Japão,40,1,1,0
5004,Apartamento,590,1100,Vila Andrade,35,1,1,1
5005,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
5006,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
5007,Apartamento,651,1500,Vila Água Funda,75,2,2,1
5008,Apartamento,1150,3200,Vila Mariana,110,3,2,1
5009,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
5010,Apartamento,850,5900,Sumaré,74,2,3,2
5011,Apartamento,450,3200,Indianópolis,36,1,1,0
5012,Apartamento,0,1350,Vila Madalena,24,1,1,0
5013,Apartamento,536,2800,Brooklin,47,1,1,1
5014,Sala/Conjunto,0,1700,Santana,60,0,1,0
5015,Apartamento,480,1500,Brás,49,2,1,1
5016,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
5017,Apartamento,550,2000,Moema,54,1,1,1
5018,Apartamento,410,1800,Vila Mariana,44,1,1,0
5019,Apartamento,506,2100,Barra Funda,60,2,2,1
5020,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
5021,Sala/Conjunto,0,600,República,20,0,1,0
5022,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
5023,Apartamento,700,2300,Jaguaré,70,3,2,2
5024,Apartamento,724,1800,Vila Paulista,76,3,2,1
5025,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
5026,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
5027,Apartamento,781,1800,Sumaré,50,1,1,1
5028,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
5029,Apartamento,0,2600,Bela Vista,48,1,1,0
5030,Apartamento,0,4500,Perdizes,140,3,3,2
5031,Sala/Conjunto,0,1950,República,65,0,2,0
5032,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
5033,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
5034,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
5035,Apartamento,250,1051,Liberdade,30,1,1,0
5036,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
5037,Apartamento,650,1700,Consolação,50,2,1,1
5038,Apartamento,925,3999,Itaim Bibi,95,2,1,0
5039,Casa,2350,950,Jardim Japão,40,1,1,0
5040,Apartamento,590,1100,Vila Andrade,35,1,1,1
5041,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
5042,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
5043,Apartamento,651,1500,Vila Água Funda,75,2,2,1
5044,Apartamento,1150,3200,Vila Mariana,110,3,2,1
5045,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
5046,Apartamento,850,5900,Sumaré,74,2,3,2
5047,Apartamento,450,3200,Indianópolis,36,1,1,0
5048,Apartamento,0,1350,Vila Madalena,24,1,1,0
5049,Apartamento,536,2800,Brooklin,47,1,1,1
5050,Sala/Conjunto,0,1700,Santana,60,0,1,0
5051,Apartamento,480,1500,Brás,49,2,1,1
5052,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
5053,Apartamento,550,2000,Moema,54,1,1,1
5054,Apartamento,410,1800,Vila Mariana,44,1,1,0
5055,Apartamento,506,2100,Barra Funda,60,2,2,1
5056,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
5057,Sala/Conjunto,0,600,República,20,0,1,0
5058,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
5059,Apartamento,700,2300,Jaguaré,70,3,2,2
5060,Apartamento,724,1800,Vila Paulista,76,3,2,1
5061,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
5062,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
5063,Apartamento,781,1800,Sumaré,50,1,1,1
5064,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
5065,Apartamento,0,2600,Bela Vista,48,1,1,0
5066,Apartamento,0,4500,Perdizes,140,3,3,2
5067,Sala/Conjunto,0,1950,República,65,0,2,0
5068,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
5069,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
5070,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
5071,Apartamento,250,1051,Liberdade,30,1,1,0
5072,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
5073,Apartamento,650,1700,Consolação,50,2,1,1
5074,Apartamento,925,3999,Itaim Bibi,95,2,1,0
5075,Casa,2350,950,Jardim Japão,40,1,1,0
5076,Apartamento,590,1100,Vila Andrade,35,1,1,1
5077,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
